fully training <src.Phenotype.ModuleGraph.ModuleGraph object at 0x2aab2701df60> reported acc: 77.23
fully training ~ num epochs: 300 num augs: 0 feature multiplier: 2
epoch 239 average loss: 0.010227689140317688 accuracy: 76.4 i =0
epoch 240 average loss: 0.008548456073646814 accuracy: 76.94 i =0
epoch 241 average loss: 0.004994652807598077 accuracy: 77.37 i =0
epoch 242 average loss: 0.009340016679330305 accuracy: 76.73 i =0
epoch 243 average loss: 0.009457743083926993 accuracy: 76.41 i =0
epoch 244 average loss: 0.006268639899742588 accuracy: 76.45 i =0
epoch 245 average loss: 0.0066922347177006064 accuracy: 76.54 i =0
 epoch 246 average loss: 0.00862865573541761 accuracy: 76.52 i =0
epoch 247 average loss: 0.014417206637189268 accuracy: 77.1 i =0
epoch 248 average loss: 0.006387593422595426 accuracy: 76.71 i =0
epoch 249 average loss: 0.006452943791042675 accuracy: 76.92 i =0
epoch 250 average loss: 0.0074461430273043815 accuracy: 76.3 i =0
epoch 251 average loss: 0.006893794845298371 accuracy: 77.08 i =0
epoch 252 average loss: 0.0063381374368823296 accuracy: 76.21 i =0
 epoch 253 average loss: 0.008809283523606888 accuracy: 76.62 i =0
epoch 254 average loss: 0.009036924341805613 accuracy: 76.98 i =0
epoch 255 average loss: 0.006950371024626928 accuracy: 76.79 i =0
epoch 256 average loss: 0.0072831452827752784 accuracy: 76.83 i =0
 epoch 257 average loss: 0.008912985374084966 accuracy: 76.8 i =0
epoch 258 average loss: 0.006778501346230354 accuracy: 76.64 i =0
epoch 259 average loss: 0.00881052757023086 accuracy: 77.09 i =0
epoch 260 average loss: 0.006590809005285195 accuracy: 76.49 i =0
epoch 261 average loss: 0.008783758049127234 accuracy: 76.12 i =0
epoch 262 average loss: 0.008169367360893194 accuracy: 76.64 i =0
epoch 263 average loss: 0.008614961076980975 accuracy: 76.86 i =0
epoch 264 average loss: 0.005771083244517274 accuracy: 76.71 i =0
epoch 265 average loss: 0.005148295069855093 accuracy: 76.4 i =0
epoch 266 average loss: 0.010310341784117622 accuracy: 76.42 i =0
epoch 267 average loss: 0.009294797712877374 accuracy: 77.2 i =0
epoch 268 average loss: 0.007354675674102675 accuracy: 76.41 i =0
epoch 269 average loss: 0.009044310209197057 accuracy: 76.94 i =0
epoch 270 average loss: 0.006678098118679167 accuracy: 76.49 i =0
epoch 271 average loss: 0.007535455393081438 accuracy: 76.55 i =0
epoch 272 average loss: 0.007589109523386412 accuracy: 76.04 i =0
epoch 273 average loss: 0.004912242503233359 accuracy: 77.21 i =0
epoch 274 average loss: 0.009445127047283548 accuracy: 76.29 i =0
epoch 275 average loss: 0.010886896210847836 accuracy: 76.32 i =0
epoch 276 average loss: 0.00672969512078582 accuracy: 77.46 i =0
epoch 277 average loss: 0.005128173970840346 accuracy: 76.08 i =0
epoch 278 average loss: 0.008681887586657125 accuracy: 77.11 i =0
epoch 279 average loss: 0.00843134434671927 accuracy: 76.76 i =0
epoch 280 average loss: 0.005922342270192966 accuracy: 76.65 i =0
epoch 281 average loss: 0.007223706024671486 accuracy: 76.55 i =0
epoch 282 average loss: 0.009631886276942362 accuracy: 76.42 i =0
epoch 283 average loss: 0.007795538915447633 accuracy: 76.89 i =0
epoch 284 average loss: 0.01076744929929091 accuracy: 76.18 i =0
epoch 285 average loss: 0.00810829966916928 accuracy: 76.36 i =0
epoch 286 average loss: 0.006429628529866129 accuracy: 76.7 i =0
epoch 287 average loss: 0.006174684877813854 accuracy: 75.53 i =0
epoch 288 average loss: 0.00902756687048608 accuracy: 76.85 i =0
epoch 289 average loss: 0.008992299470912174 accuracy: 76.57 i =0
epoch 290 average loss: 0.0069777341643002515 accuracy: 76.93 i =0
 epoch 291 average loss: 0.007989736128402886 accuracy: 76.6 i =0
epoch 292 average loss: 0.005744837238793184 accuracy: 76.13 i =0
epoch 293 average loss: 0.00842650935397258 accuracy: 76.28 i =0
epoch 294 average loss: 0.009418229497349063 accuracy: 76.48 i =0
epoch 295 average loss: 0.006566241841462754 accuracy: 75.95 i =0
epoch 296 average loss: 0.008093238239404334 accuracy: 75.81 i =0
epoch 297 average loss: 0.005959265148708365 accuracy: 76.34 i =0
epoch 298 average loss: 0.006802262087255984 accuracy: 75.73 i =0
epoch 299 average loss: 0.009376409607873837 accuracy: 76.88 i =0
epoch 300 average loss: 0.006232155560874756 accuracy: 76.34 i =0
